Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.5), ('fractal0', 10, 0.5)]
Train labels :(16,80.0%)
Test  labels :(4,20.0%)
Model: 1_lstm_no_dropout_500_2_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (2, 500)
				 b => (2,)
Optimizer: ('MomentumSGD', {'lr': 0.01, 'momentum': 0.9}) 
Evaluation
epoch	training loss	test loss	test accuracy
108	0.0002875030040740967	0.00019121170043945312	1.0
109	0.000284537672996521	0.00018894672393798828	1.0
110	0.000281408429145813	0.00018715858459472656	1.0
111	0.0002785325050354004	0.0001850128173828125	1.0
112	0.00027558207511901855	0.00018310546875	1.0
113	0.0002728700637817383	0.00018155574798583984	1.0
114	0.00026960670948028564	0.0001798868179321289	1.0
115	0.0002666860818862915	0.00017786026000976562	1.0
116	0.000264093279838562	0.0001760721206665039	1.0
117	0.0002614259719848633	0.00017452239990234375	1.0
118	0.00025907158851623535	0.00017309188842773438	1.0
119	0.00025594234466552734	0.00017154216766357422	1.0
120	0.0002538710832595825	0.00017011165618896484	1.0
121	0.00025115907192230225	0.00016796588897705078	1.0
122	0.00024944543838500977	0.0001671314239501953	1.0
123	0.00024637579917907715	0.00016498565673828125	1.0
124	0.0002438873052597046	0.00016367435455322266	1.0
125	0.00024116039276123047	0.00016236305236816406	1.0
126	0.0002390742301940918	0.0001609325408935547	1.0
127	0.00023700296878814697	0.00015985965728759766	1.0
128	0.00023515522480010986	0.00015807151794433594	1.0
129	0.00023281574249267578	0.00015676021575927734	1.0
130	0.0002303868532180786	0.00015556812286376953	1.0
131	0.00022858381271362305	0.0001537799835205078	1.0
132	0.0002266913652420044	0.00015282630920410156	1.0
133	0.00022421777248382568	0.00015175342559814453	1.0
134	0.00022232532501220703	0.0001506805419921875	1.0
135	0.00022019445896148682	0.00014925003051757812	1.0
136	0.00021816790103912354	0.00014781951904296875	1.0
137	0.0002164095640182495	0.00014674663543701172	1.0
138	0.00021480023860931396	0.0001455545425415039	1.0
139	0.00021286308765411377	0.00014460086822509766	1.0
140	0.00021085143089294434	0.00014328956604003906	1.0
141	0.00020913779735565186	0.00014221668243408203	1.0
142	0.0002075880765914917	0.000141143798828125	1.0
143	0.0002056807279586792	0.00014019012451171875	1.0
144	0.00020398199558258057	0.00013911724090576172	1.0
145	0.00020238757133483887	0.00013816356658935547	1.0
146	0.00020070374011993408	0.00013685226440429688	1.0
147	0.00019887089729309082	0.0001360177993774414	1.0
148	0.00019744038581848145	0.0001347064971923828	1.0
149	0.00019612908363342285	0.00013399124145507812	1.0
150	0.0001942664384841919	0.00013303756713867188	1.0
151	0.00019279122352600098	0.00013184547424316406	1.0
152	0.00019134581089019775	0.0001310110092163086	1.0
153	0.00019006431102752686	0.00013017654418945312	1.0
154	0.00018838047981262207	0.00012934207916259766	1.0
155	0.00018678605556488037	0.0001283884048461914	1.0
156	0.00018580257892608643	0.00012695789337158203	1.0
157	0.00018408894538879395	0.00012636184692382812	1.0
158	0.0001827031373977661	0.00012552738189697266	1.0
159	0.0001814514398574829	0.00012481212615966797	1.0
160	0.00018005073070526123	0.00012385845184326172	1.0
161	0.00017881393432617188	0.00012302398681640625	1.0
162	0.00017736852169036865	0.00012218952178955078	1.0
163	0.00017608702182769775	0.0001214742660522461	1.0
164	0.00017492473125457764	0.00012063980102539062	1.0
165	0.00017347931861877441	0.00011980533599853516	1.0
166	0.00017227232456207275	0.00011897087097167969	1.0
167	0.00017127394676208496	0.00011837482452392578	1.0
168	0.00016993284225463867	0.00011754035949707031	1.0
169	0.0001688748598098755	0.00011682510375976562	1.0
170	0.0001675933599472046	0.0001157522201538086	1.0
171	0.00016643106937408447	0.00011491775512695312	1.0
172	0.0001653730869293213	0.00011444091796875	1.0
173	0.00016410648822784424	0.00011348724365234375	1.0
174	0.0001634657382965088	0.00011324882507324219	1.0
175	0.0001618415117263794	0.00011229515075683594	1.0
176	0.0001609325408935547	0.00011157989501953125	1.0
177	0.00015977025032043457	0.00011086463928222656	1.0
178	0.00015886127948760986	0.00011038780212402344	1.0
179	0.0001576840877532959	0.00010979175567626953	1.0
180	0.00015673041343688965	0.0001093149185180664	1.0
181	0.00015559792518615723	0.00010848045349121094	1.0
182	0.00015458464622497559	0.00010776519775390625	1.0
183	0.0001535862684249878	0.00010704994201660156	1.0
184	0.0001526474952697754	0.00010645389556884766	1.0
185	0.00015166401863098145	0.00010585784912109375	1.0
186	0.00015076994895935059	0.00010514259338378906	1.0
187	0.00014983117580413818	0.00010466575622558594	1.0
188	0.00014886260032653809	0.00010383129119873047	1.0
189	0.0001480579376220703	0.00010347366333007812	1.0
190	0.00014695525169372559	0.00010275840759277344	1.0
191	0.00014616549015045166	0.0001024007797241211	1.0
192	0.00014516711235046387	0.00010156631469726562	1.0
193	0.00014425814151763916	0.0001010894775390625	1.0
194	0.00014360249042510986	0.0001004934310913086	1.0
195	0.0001424849033355713	9.989738464355469e-05	1.0
196	0.00014163553714752197	9.930133819580078e-05	1.0
197	0.00014092028141021729	9.870529174804688e-05	1.0
198	0.00014007091522216797	9.822845458984375e-05	1.0
199	0.00013913214206695557	9.763240814208984e-05	1.0
200	0.00013838708400726318	9.72747802734375e-05	1.0
201	0.00013752281665802002	9.66787338256836e-05	1.0
202	0.00013680756092071533	9.608268737792969e-05	1.0
203	0.00013594329357147217	9.572505950927734e-05	1.0
204	0.00013515353202819824	9.512901306152344e-05	1.0
205	0.00013455748558044434	9.47713851928711e-05	1.0
206	0.00013360381126403809	9.40561294555664e-05	1.0
207	0.00013296306133270264	9.369850158691406e-05	1.0
