Testing overfitting the model on all the datasets
Class ratio [('BlackEagle0', 10, 0.14285714285714285), ('Fizu0', 10, 0.14285714285714285), ('IdoLivneh0', 10, 0.14285714285714285), ('cheilman0', 10, 0.14285714285714285), ('gepa0', 10, 0.14285714285714285), ('joegunrok0', 10, 0.14285714285714285), ('taichino0', 10, 0.14285714285714285)]
Train labels :(56,80.0%)
Test  labels :(14,20.0%)
Model: 1_lstm_no_dropout_500_10_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
			lateral Linear ['W'] 
						 W => (2000, 500)
		w Linear ['W', 'b'] 
				 W => (7, 500)
				 b => (7,)
Optimizer: ('MomentumSGD', {'lr': 0.01, 'momentum': 0.9}) 
Evaluation
epoch	training loss	test loss	test accuracy
26	0.002235940524509975	0.008715391159057617	1.0
27	0.0020911352975027902	0.008326360157557897	1.0
28	0.0019584127834865023	0.00851689066205706	1.0
29	0.0018594094685145787	0.008032798767089844	1.0
30	0.001758464745112828	0.007722479956490653	1.0
31	0.0016661030905587332	0.007571186338152204	1.0
32	0.0015885744776044572	0.007346630096435547	1.0
33	0.0015129106385367258	0.007182019097464425	1.0
34	0.0014476009777614049	0.007015228271484375	1.0
35	0.0013794984136308943	0.00676342419215611	1.0
36	0.0013269611767360143	0.006550822939191546	1.0
37	0.001268650804247175	0.006479740142822266	1.0
38	0.0012234875134059361	0.006318262645176479	1.0
39	0.0011731726782662527	0.006229945591517857	1.0
40	0.0011320454733712332	0.00613025256565639	1.0
41	0.001088670321873256	0.00599564824785505	1.0
42	0.0010498762130737305	0.005855117525373187	1.0
43	0.0010138068880353654	0.005692311695643834	1.0
44	0.0009848730904715402	0.005606889724731445	1.0
45	0.0009520139013017927	0.005484649113246373	1.0
46	0.0009223733629499163	0.005458627428327288	1.0
47	0.0008958407810756139	0.005391086850847516	1.0
48	0.0008687547274998256	0.005262272698538644	1.0
49	0.0008415750094822475	0.005174739020211356	1.0
50	0.0008195042610168457	0.005081585475376674	1.0
51	0.0007958667618887765	0.0049983092716762	1.0
52	0.0007737874984741211	0.0049315861293247765	1.0
53	0.0007540668760027204	0.004862649100167411	1.0
54	0.0007350529943193708	0.004769495555332729	1.0
55	0.0007161242621285575	0.004729679652622768	1.0
56	0.000698293958391462	0.004656008311680385	1.0
57	0.0006812300000871931	0.004576001848493304	1.0
58	0.0006658349718366351	0.004573992320469448	1.0
59	0.0006508997508457728	0.0045032501220703125	1.0
60	0.0006359645298549107	0.00443645886012486	1.0
61	0.0006204162325177874	0.004416465759277344	1.0
62	0.0006068434034075056	0.004365716661725726	1.0
63	0.0005934579031808036	0.004296915871756417	1.0
64	0.0005811963762555804	0.0042438507080078125	1.0
65	0.0005688326699393136	0.0041823046548025945	1.0
66	0.0005576099668230329	0.004162754331316266	1.0
67	0.0005474942071097237	0.004099369049072266	1.0
68	0.0005359138761247907	0.0040340423583984375	1.0
69	0.0005254745483398438	0.004079001290457589	1.0
70	0.000514984130859375	0.003943681716918945	1.0
71	0.0005049364907400948	0.003978150231497628	1.0
72	0.0004962171827043806	0.003879002162388393	1.0
73	0.00048722539629255025	0.0038987227848597933	1.0
74	0.0004779951913016183	0.0038001196725027902	1.0
75	0.00046948024204799106	0.0038081577845982145	1.0
76	0.0004614591598510742	0.0037754603794642855	1.0
77	0.00045381273542131694	0.003704718181065151	1.0
78	0.0004461322511945452	0.0036889144352504183	1.0
79	0.0004380600793021066	0.003638574055262974	1.0
80	0.0004308394023350307	0.003653935023716518	1.0
81	0.00042389120374407085	0.003598996571132115	1.0
82	0.0004171133041381836	0.003539391926356724	1.0
83	0.00041065897260393413	0.0035404477800641742	1.0
84	0.0004041365214756557	0.003519024167742048	1.0
85	0.00039790357862200053	0.003477982112339565	1.0
86	0.00039190905434744697	0.00344606808253697	1.0
87	0.00038622106824602397	0.0034224646432059152	1.0
88	0.00038032872336251397	0.0034058434622628348	1.0
89	0.00037441934858049663	0.003360271453857422	1.0
90	0.00036978721618652344	0.0033436502729143414	1.0
91	0.0003636564527239118	0.0033143588474818637	1.0
92	0.0003588029316493443	0.0032600334712437223	1.0
93	0.00035372802189418247	0.0032755647386823383	1.0
94	0.00034880638122558594	0.0032328878130231586	1.0
95	0.00034431048801967075	0.0032130650111607145	1.0
96	0.0003394569669451032	0.0032057762145996094	1.0
97	0.00033489295414515903	0.003153903143746512	1.0
98	0.00033039706093924385	0.00316340582711356	1.0
99	0.00032639503479003906	0.003134012222290039	1.0
100	0.0003218480518886021	0.0031099660055977957	1.0
101	0.00031747136797223775	0.0030860560280936106	1.0
102	0.00031377587999616353	0.00306980950491769	1.0
103	0.0003096546445574079	0.003059182848249163	1.0
104	0.0003057718276977539	0.003044060298374721	1.0
105	0.0003019741603306362	0.0030078887939453125	1.0
106	0.00029861927032470703	0.003010443278721401	1.0
107	0.00029471942356654575	0.002969026565551758	1.0
108	0.0002913815634591239	0.002939462661743164	1.0
109	0.0002879926136561802	0.0029459340231759207	1.0
110	0.0002849102020263672	0.00291790281023298	1.0
111	0.0002816915512084961	0.0028914383479527067	1.0
112	0.0002783707209995815	0.0029006004333496094	1.0
113	0.00027482850211007256	0.0028649398258754183	1.0
114	0.00027220589773995537	0.0028409617287772043	1.0
115	0.0002689361572265625	0.0028493404388427734	1.0
116	0.00026607513427734375	0.0028148378644670758	1.0
117	0.00026304381234305244	0.002807957785470145	1.0
118	0.00026038714817592075	0.0027796540941510883	1.0
119	0.00025723661695207866	0.002768652779715402	1.0
120	0.00025456292288643975	0.0027605806078229633	1.0
121	0.00025209358760288784	0.0027474675859723774	1.0
122	0.0002494539533342634	0.002717869622366769	1.0
123	0.00024678025926862447	0.002717529024396624	1.0
124	0.0002443279538835798	0.0026806763240269254	1.0
125	0.00024184158870152066	0.002678258078438895	1.0
126	0.00023949146270751953	0.0026701859065464567	1.0
127	0.0002368858882359096	0.0026615006583077566	1.0
128	0.00023446764264787947	0.0026496819087437223	1.0
129	0.0002322878156389509	0.0026415416172572543	1.0
130	0.00023000580923897878	0.00261272702898298	1.0
131	0.00022770677294049944	0.002603428704398019	1.0
132	0.0002254417964390346	0.0025927679879324777	1.0
133	0.0002234152385166713	0.0025811876569475445	1.0
134	0.00022135462079729353	0.0025542122977120535	1.0
135	0.00021943024226597378	0.0025319031306675504	1.0
136	0.00021731853485107422	0.002544879913330078	1.0
137	0.00021507058824811663	0.0025252274104527067	1.0
138	0.00021314620971679688	0.0025148732321602957	1.0
139	0.00021135807037353516	0.002502986363002232	1.0
140	0.0002095869609287807	0.002475942884172712	1.0
141	0.00020761149270193919	0.0024779183523995535	1.0
142	0.00020582335335867747	0.0024793829236711773	1.0
143	0.00020400115421840122	0.0024447781699044363	1.0
144	0.00020211083548409597	0.0024392945425851004	1.0
145	0.00020037378583635603	0.002430438995361328	1.0
146	0.0001987389155796596	0.0024127279009137836	1.0
147	0.00019695077623639788	0.0024111952100481305	1.0
148	0.00019521372658865794	0.0024058137621198383	1.0
149	0.00019368103572300503	0.002396924155099051	1.0
150	0.00019196101597377231	0.0023796898978097098	1.0
151	0.0001903602055140904	0.0023584365844726562	1.0
152	0.00018881048474993025	0.002371924264090402	1.0
153	0.00018724373408726284	0.0023411342075892855	1.0
154	0.00018579619271414622	0.0023488998413085938	1.0
155	0.00018422944205147878	0.002331597464425223	1.0
156	0.0001826967511858259	0.0023135457720075336	1.0
