Testing overfitting the model on all the datasets
Class ratio [('ana valeije0', 10, 0.3333333333333333), ('kawasaki0', 10, 0.3333333333333333), ('tama eguchi0', 10, 0.3333333333333333)]
Train labels :(24,80.0%)
Test  labels :(6,20.0%)
Model: 1_lstm_no_dropout_500_3_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (3, 500)
				 b => (3,)
Optimizer: ('MomentumSGD', {'momentum': 0.9, 'lr': 0.01}) 
Evaluation
epoch	training loss	test loss	test accuracy
109	0.00025423367818196613	0.020409385363260906	1.0
110	0.00025155146916707355	0.0203475554784139	1.0
111	0.0002487500508626302	0.020305355389912922	1.0
112	0.00024640560150146484	0.02045317490895589	1.0
113	0.00024332602818806967	0.020313819249471027	1.0
114	0.0002405246098836263	0.02036734422047933	1.0
115	0.00023825963338216147	0.02030070622762044	1.0
116	0.00023581584294637045	0.02017688751220703	1.0
117	0.0002330144246419271	0.020159324010213215	1.0
118	0.0002307891845703125	0.020331819852193195	1.0
119	0.00022820631663004556	0.020354827245076496	1.0
120	0.00022588173548380533	0.020282308260599773	1.0
121	0.00022361675898234049	0.02032903830210368	1.0
122	0.00022178888320922852	0.02017390727996826	1.0
123	0.00021932522455851236	0.020354946454366047	1.0
124	0.00021696090698242188	0.02019508679707845	1.0
125	0.00021491448084513345	0.020234306653340656	1.0
126	0.00021286805470784506	0.020218610763549805	1.0
127	0.00021090110143025717	0.020254890124003094	1.0
128	0.00020871559778849283	0.02017048994700114	1.0
129	0.00020686785380045572	0.020079652468363445	1.0
130	0.00020496050516764322	0.020045757293701172	1.0
131	0.00020319223403930664	0.020015676816304524	1.0
132	0.0002011259396870931	0.02001663049062093	1.0
133	0.00019925832748413086	0.020142118136088055	1.0
134	0.0001975099245707194	0.02002084255218506	1.0
135	0.00019562244415283203	0.020062764485677082	1.0
136	0.00019399325052897135	0.02001909414927165	1.0
137	0.00019210577011108398	0.020047585169474285	1.0
138	0.00019059578577677408	0.020096460978190105	1.0
139	0.00018894672393798828	0.020073652267456055	1.0
140	0.0001871188481648763	0.02007595698038737	1.0
141	0.00018564860026041666	0.020093917846679688	1.0
142	0.0001844167709350586	0.019968032836914062	1.0
143	0.00018264849980672201	0.020029743512471516	1.0
144	0.00018097956975301108	0.02003192901611328	1.0
145	0.00017964839935302734	0.019896507263183594	1.0
146	0.00017805894215901694	0.01999485492706299	1.0
147	0.0001764098803202311	0.019990166028340656	1.0
148	0.0001751581827799479	0.01995054880777995	1.0
149	0.00017360846201578775	0.019948045412699383	1.0
150	0.00017211834589640299	0.019922057787577312	1.0
151	0.00017082691192626953	0.019908428192138672	1.0
152	0.00016987323760986328	0.019976377487182617	1.0
153	0.0001681844393412272	0.019900838534037273	1.0
154	0.00016683340072631836	0.01992499828338623	1.0
155	0.00016558170318603516	0.019844611485799152	1.0
156	0.0001642306645711263	0.019869407018025715	1.0
157	0.00016315778096516928	0.01985021432240804	1.0
158	0.00016194581985473633	0.019889235496520996	1.0
159	0.00016059478123982748	0.01986984411875407	1.0
160	0.00015952189763387045	0.019927104314168293	1.0
161	0.00015821059544881186	0.01986396312713623	1.0
162	0.00015701850255330405	0.019795854886372883	1.0
163	0.0001560648282368978	0.019934813181559246	1.0
164	0.00015505154927571615	0.019770463307698567	1.0
165	0.0001535614331563314	0.01979704697926839	1.0
166	0.00015244881312052408	0.019866029421488445	1.0
167	0.00015147527058919272	0.019862969716389973	1.0
168	0.00015030304590861002	0.0198214054107666	1.0
169	0.00014930963516235352	0.019803643226623535	1.0
170	0.00014821688334147135	0.019777417182922363	1.0
171	0.0001471837361653646	0.019755045572916668	1.0
172	0.00014623006184895834	0.019844770431518555	1.0
173	0.00014531612396240234	0.019741415977478027	1.0
174	0.00014418363571166992	0.0196837584177653	1.0
175	0.00014317035675048828	0.01979680856068929	1.0
176	0.00014223655064900717	0.0198208491007487	1.0
177	0.00014122327168782553	0.019835472106933594	1.0
178	0.00014034907023111978	0.019750316937764485	1.0
179	0.00013927618662516275	0.01973112424214681	1.0
180	0.00013848145802815756	0.01972941557566325	1.0
181	0.00013754765192667642	0.019747177759806316	1.0
182	0.00013663371404012045	0.019751787185668945	1.0
183	0.00013564030329386392	0.019699811935424805	1.0
