Testing overfitting the model on all the datasets
Class ratio [('Bastiandantilus0', 10, 0.5), ('bigOnion0', 10, 0.5)]
Train labels :(16,80.0%)
Test  labels :(4,20.0%)
Model: 1_lstm_no_dropout_500_2_labels 
		embed EmbedID ['W'] 
				 W => (108, 500)
		lstm1 
			lateral Linear ['W'] 
						 W => (2000, 500)
			upward Linear ['W', 'b'] 
						 W => (2000, 500)
						 b => (2000,)
		w Linear ['W', 'b'] 
				 W => (2, 500)
				 b => (2,)
Optimizer: ('MomentumSGD', {'lr': 0.01, 'momentum': 0.9}) 
Evaluation
epoch	training loss	test loss	test accuracy
1	0.612604146823287	0.4569610357284546	1.0
2	0.3271953407675028	0.23787328600883484	1.0
3	0.1500781923532486	0.11384537816047668	1.0
4	0.09556136280298233	0.06022641062736511	1.0
5	0.04138229042291641	0.06991839408874512	1.0
6	0.020295433700084686	0.06289869546890259	1.0
7	0.011752605438232422	0.054691463708877563	1.0
8	0.008632436394691467	0.049567803740501404	1.0
9	0.006665542721748352	0.04404805600643158	1.0
10	0.005458049476146698	0.041090890765190125	1.0
11	0.0046125054359436035	0.03959314525127411	1.0
12	0.003916524350643158	0.037716954946517944	1.0
13	0.0034607425332069397	0.03627707064151764	1.0
14	0.0030486509203910828	0.03426659107208252	1.0
15	0.0027555525302886963	0.03372085094451904	1.0
16	0.0025013238191604614	0.03243950009346008	1.0
17	0.0022935718297958374	0.031557440757751465	1.0
18	0.00211547315120697	0.031191349029541016	1.0
19	0.0019378215074539185	0.030420690774917603	1.0
20	0.0018106251955032349	0.030057698488235474	1.0
21	0.0016765743494033813	0.02937602996826172	1.0
22	0.001587018370628357	0.02885645627975464	1.0
23	0.001482844352722168	0.028214097023010254	1.0
24	0.0014078915119171143	0.02777630090713501	1.0
25	0.0013246536254882812	0.02723085880279541	1.0
26	0.0012564808130264282	0.026737332344055176	1.0
27	0.0012061148881912231	0.02643507719039917	1.0
28	0.0011432766914367676	0.026279151439666748	1.0
29	0.0010909438133239746	0.025860130786895752	1.0
30	0.0010452866554260254	0.02538737654685974	1.0
31	0.0010021775960922241	0.02524295449256897	1.0
32	0.0009609013795852661	0.02492186427116394	1.0
33	0.0009270310401916504	0.02462145686149597	1.0
34	0.0008920729160308838	0.024397611618041992	1.0
35	0.0008595883846282959	0.02425888180732727	1.0
36	0.0008291453123092651	0.02387252449989319	1.0
37	0.0008063614368438721	0.023785054683685303	1.0
38	0.000774577260017395	0.02346166968345642	1.0
39	0.0007525980472564697	0.023283272981643677	1.0
40	0.0007285475730895996	0.02311551570892334	1.0
41	0.0007058978080749512	0.02284461259841919	1.0
42	0.0006884485483169556	0.022700130939483643	1.0
43	0.000667273998260498	0.022503554821014404	1.0
44	0.00064888596534729	0.02217426896095276	1.0
45	0.0006352216005325317	0.022152066230773926	1.0
46	0.0006152689456939697	0.021981745958328247	1.0
47	0.0005999058485031128	0.0217532217502594	1.0
48	0.0005866438150405884	0.021567434072494507	1.0
49	0.0005722492933273315	0.02147984504699707	1.0
50	0.0005580633878707886	0.021299242973327637	1.0
51	0.0005457103252410889	0.021126598119735718	1.0
52	0.0005327016115188599	0.02096349000930786	1.0
53	0.0005242824554443359	0.02091115713119507	1.0
54	0.0005103796720504761	0.020658761262893677	1.0
55	0.0005015730857849121	0.02061551809310913	1.0
56	0.000489458441734314	0.02041715383529663	1.0
57	0.0004808008670806885	0.020410865545272827	1.0
58	0.00047041475772857666	0.020188361406326294	1.0
59	0.0004623234272003174	0.020133614540100098	1.0
60	0.0004531443119049072	0.019970208406448364	1.0
61	0.00044468045234680176	0.01984703540802002	1.0
62	0.0004368126392364502	0.01979619264602661	1.0
63	0.00042860209941864014	0.01962655782699585	1.0
64	0.0004211515188217163	0.01953902840614319	1.0
65	0.0004144906997680664	0.019421905279159546	1.0
66	0.00040721893310546875	0.019353479146957397	1.0
67	0.0004011988639831543	0.019312739372253418	1.0
68	0.0003939718008041382	0.019220173358917236	1.0
69	0.00038754940032958984	0.01912546157836914	1.0
70	0.00038170814514160156	0.019033342599868774	1.0
71	0.00037564337253570557	0.018851101398468018	1.0
72	0.0003708750009536743	0.01879069209098816	1.0
73	0.0003647655248641968	0.01870909333229065	1.0
74	0.00035919249057769775	0.018570154905319214	1.0
75	0.00035452842712402344	0.018531352281570435	1.0
76	0.000349387526512146	0.018488407135009766	1.0
77	0.0003445148468017578	0.018374741077423096	1.0
78	0.00033974647521972656	0.01829427480697632	1.0
79	0.0003354400396347046	0.018185019493103027	1.0
80	0.00033117830753326416	0.01813986897468567	1.0
81	0.00032617151737213135	0.018071025609970093	1.0
82	0.00032275915145874023	0.018015414476394653	1.0
83	0.00031813979148864746	0.017914652824401855	1.0
84	0.0003143996000289917	0.017825841903686523	1.0
85	0.0003103315830230713	0.017785459756851196	1.0
86	0.0003069192171096802	0.017731428146362305	1.0
87	0.0003028362989425659	0.01760116219520569	1.0
88	0.00030018389225006104	0.017590761184692383	1.0
89	0.00029581785202026367	0.017505913972854614	1.0
90	0.0002926439046859741	0.017413735389709473	1.0
91	0.0002896338701248169	0.017396211624145508	1.0
92	0.00028617680072784424	0.01732698082923889	1.0
93	0.0002827942371368408	0.017231345176696777	1.0
94	0.00027996301651000977	0.017174601554870605	1.0
95	0.0002771317958831787	0.017174094915390015	1.0
96	0.000273972749710083	0.01708287000656128	1.0
97	0.00027105212211608887	0.01701664924621582	1.0
98	0.0002684593200683594	0.016977250576019287	1.0
99	0.000265464186668396	0.016886591911315918	1.0
100	0.0002631545066833496	0.016848891973495483	1.0
101	0.0002604275941848755	0.016816020011901855	1.0
102	0.0002580583095550537	0.016775190830230713	1.0
103	0.0002553611993789673	0.016659319400787354	1.0
104	0.00025337934494018555	0.0166265070438385	1.0
105	0.00025062263011932373	0.016587048768997192	1.0
106	0.00024816393852233887	0.01652216911315918	1.0
107	0.0002458840608596802	0.016487717628479004	1.0
108	0.00024367868900299072	0.01642569899559021	1.0
109	0.00024139881134033203	0.016371220350265503	1.0
110	0.00023952126502990723	0.016330450773239136	1.0
